Time,Voltage 2 (V),Current (mA)
2:52:38 PM,0.003,0.1
2:52:39 PM,0.003,0.1
2:52:40 PM,0.003,0.1
2:52:41 PM,0.003,0.1
2:52:42 PM,0.003,0.1
2:52:43 PM,0.003,0.1
2:52:44 PM,0.003,0.1
2:52:45 PM,0.003,0.1
2:52:46 PM,0.003,0.1
2:52:47 PM,0.003,0.1
2:52:48 PM,0.003,0.1
2:52:49 PM,0.003,0.1
2:52:50 PM,0.003,0
2:52:51 PM,0.003,0.1
2:52:52 PM,0.003,0.1
2:52:53 PM,0.003,0.1
2:52:54 PM,0.003,0.1
2:52:55 PM,0.003,0.1
2:52:56 PM,0.003,0.1
2:52:57 PM,11.0955,582.5
2:52:58 PM,11.0775,591.6
2:52:59 PM,11.0855,586.6
2:53:00 PM,11.079,584.9
2:53:01 PM,11.1925,597.3
2:53:02 PM,11.162,584.3
2:53:03 PM,0.003,0.5
2:53:04 PM,0.003,0.2
2:53:05 PM,0.003,0.2
2:53:06 PM,0.003,0.1
2:53:07 PM,0.003,0.1
2:53:08 PM,0.003,0.1
2:53:09 PM,0.003,0.1
2:53:10 PM,0.003,0.1
2:53:11 PM,0.003,0.1
2:53:12 PM,0.003,0.1
2:53:13 PM,0.003,0.1
2:53:14 PM,0.003,0.1
2:53:15 PM,0.003,0.1
2:53:16 PM,0.003,0.1
2:53:17 PM,0.003,0.1
2:53:18 PM,0.003,0.1
2:53:19 PM,0.003,0.1
2:53:20 PM,0.003,0.1
2:53:21 PM,0.003,0.1
2:53:22 PM,0.003,0.1
2:53:23 PM,0.003,0.1
2:53:24 PM,0.003,0.1
2:53:25 PM,0.003,0.1
2:53:26 PM,0.003,0.1
2:53:27 PM,0.003,0.1
2:53:28 PM,0.003,0.1
2:53:29 PM,0.003,0.1
2:53:30 PM,0.003,0.1
2:53:31 PM,0.003,0.1
2:53:32 PM,0.003,0.1
2:53:33 PM,0.003,0.1
2:53:34 PM,0.003,0.1
2:53:35 PM,0.003,0.1
2:53:36 PM,0.003,0.1
2:53:37 PM,0.003,0.1
2:53:38 PM,0.003,0.1
2:53:39 PM,0.003,0.1
2:53:40 PM,0.003,0.1
2:53:41 PM,0.003,0.1
2:53:42 PM,0.003,0.1
2:53:43 PM,0.003,0.1
2:53:44 PM,0.003,0.1
2:53:45 PM,0.003,0.1
2:53:46 PM,0.003,0.1
2:53:47 PM,0.003,0.1
2:53:48 PM,0.003,0.2
2:53:49 PM,0.003,0.1
2:53:50 PM,0.003,0.1
2:53:51 PM,0.003,0.1
2:53:52 PM,0.003,0.2
2:53:53 PM,0.003,0.1
2:53:54 PM,0.003,0.1
2:53:55 PM,0.003,0.1
2:53:56 PM,0.003,0.1
2:53:57 PM,0.003,0.1
2:53:58 PM,0.003,0.1
2:53:59 PM,0.003,0.1
2:54:00 PM,0.003,0.1
2:54:01 PM,0.003,0.1
2:54:02 PM,0.003,0.2
2:54:03 PM,0.003,0.1
2:54:04 PM,0.003,0.1
2:54:05 PM,0.003,0.1
2:54:06 PM,0.003,0.1
2:54:07 PM,0.003,0.1
2:54:08 PM,0.003,0.1
2:54:09 PM,0.003,0.1
2:54:10 PM,0.003,0.1
2:54:11 PM,0.003,0.1
2:54:12 PM,0.003,0.1
2:54:13 PM,0.003,0.1
2:54:14 PM,0.003,0.1
2:54:15 PM,0.003,0.1
2:54:16 PM,0.003,0.1
2:54:17 PM,0.003,0.1
2:54:18 PM,0.003,0.1
2:54:19 PM,0.003,0.1
2:54:20 PM,0.003,0.1
2:54:21 PM,0.003,0.1
2:54:22 PM,0.003,0.1
2:54:23 PM,0.003,0.1
2:54:24 PM,0.003,0.1
2:54:25 PM,0.003,0.1
2:54:26 PM,0.003,0.1
2:54:27 PM,0.003,0.1
2:54:28 PM,0.003,0.1
2:54:29 PM,0.003,0.1
2:54:30 PM,0.003,0.1
2:54:31 PM,11.0855,589.9
2:54:32 PM,11.017,582.3
2:54:33 PM,11.0575,584.9
2:54:34 PM,11.074,583.7
2:54:35 PM,11.0515,582.1
2:54:36 PM,0.003,0.7
2:54:37 PM,0.003,0.3
2:54:38 PM,0.003,0.2
2:54:39 PM,0.003,0.2
2:54:40 PM,0.003,0.1
2:54:41 PM,0.003,0.2
2:54:42 PM,0.003,0.1
2:54:43 PM,0.003,0.1
2:54:44 PM,0.003,0.1
2:54:45 PM,0.003,0.1
2:54:46 PM,0.003,0.1
2:54:47 PM,0.003,0.1
2:54:48 PM,0.003,0.1
2:54:49 PM,0.003,0.1
2:54:50 PM,0.003,0.1
2:54:51 PM,0.003,0.1
2:54:52 PM,0.003,0.1
2:54:53 PM,0.003,0.1
2:54:54 PM,0.003,0.1
2:54:55 PM,0.003,0.1
2:54:56 PM,0.003,0.1
2:54:57 PM,0.003,0.1
2:54:58 PM,0.003,0.1
2:54:59 PM,0.003,0.1
2:55:00 PM,0.003,0.1
2:55:01 PM,0.003,0.1
2:55:02 PM,0.003,0.1
2:55:03 PM,0.003,0.1
2:55:04 PM,0.003,0.1
2:55:05 PM,0.003,0.1
2:55:06 PM,0.003,0.1
2:55:07 PM,0.003,0.1
2:55:08 PM,0.003,0.2
2:55:09 PM,0.003,0.1
2:55:10 PM,0.003,0.1
2:55:11 PM,0.003,0.1
2:55:12 PM,0.003,0.1
2:55:13 PM,0.003,0.1
2:55:14 PM,0.003,0.1
2:55:15 PM,0.003,0.1
2:55:16 PM,0.003,0.1
2:55:17 PM,0.003,0.1
2:55:18 PM,0.003,0.1
2:55:19 PM,0.003,0
2:55:20 PM,0.003,0.1
2:55:21 PM,0.003,0.1
2:55:22 PM,0.003,0.1
2:55:23 PM,0.003,0.2
2:55:24 PM,0.003,0.1
2:55:25 PM,0.003,0.1
2:55:26 PM,0.003,0.1
2:55:27 PM,0.003,0.1
2:55:28 PM,0.003,0.1
2:55:29 PM,0.003,0.1
2:55:30 PM,0.003,0.1
2:55:31 PM,0.003,0.1
2:55:32 PM,0.003,0.1
2:55:33 PM,0.003,0.1
2:55:34 PM,0.003,0.1
2:55:35 PM,0.003,0.1
2:55:36 PM,0.003,0.1
2:55:37 PM,0.003,0.1
2:55:38 PM,0.003,0.1
2:55:39 PM,0.003,0.1
2:55:40 PM,0.003,0.1
2:55:41 PM,0.003,0.1
2:55:42 PM,0.003,0.1
2:55:43 PM,0.003,0.1
