Time,Voltage 2 (V),Current (mA)
2:38:37 PM,0.003,0.1
2:38:38 PM,0.003,0.1
2:38:39 PM,0.003,0.1
2:38:40 PM,0.003,0.1
2:38:41 PM,0.003,0.1
2:38:42 PM,0.003,0.1
2:38:43 PM,0.003,0.1
2:38:44 PM,0.003,0.1
2:38:45 PM,0.003,0.1
2:38:46 PM,0.003,0.1
2:38:47 PM,0.003,0.1
2:38:48 PM,0.003,0.1
2:38:49 PM,0.003,0.1
2:38:50 PM,0.003,0.1
2:38:51 PM,0.003,0.1
2:38:52 PM,0.0035,0.1
2:38:53 PM,0.003,0.2
2:38:54 PM,0.003,0.1
2:38:55 PM,0.003,0.1
2:38:56 PM,0.003,0.2
2:38:57 PM,0.003,0.1
2:38:58 PM,0.003,0.1
2:38:59 PM,0.003,0.2
2:39:00 PM,0.003,0.1
2:39:01 PM,0.003,0.1
2:39:02 PM,0.003,0.1
2:39:03 PM,0.003,0.1
2:39:04 PM,0.003,0.1
2:39:05 PM,0.003,0.1
2:39:06 PM,0.003,0.1
2:39:07 PM,0.003,0.2
2:39:08 PM,0.003,0.1
2:39:09 PM,0.003,0.1
2:39:10 PM,0.003,0.1
2:39:11 PM,0.0035,0.1
2:39:12 PM,0.003,0.1
2:39:13 PM,0.003,0.2
2:39:14 PM,0.003,0.1
2:39:15 PM,0.003,0.1
2:39:16 PM,0.003,0.1
2:39:17 PM,0.003,0.2
2:39:18 PM,0.003,0.1
2:39:19 PM,0.003,0.1
2:39:20 PM,0.003,0.1
2:39:21 PM,0.003,0.2
2:39:22 PM,0.003,0.1
2:39:23 PM,0.003,0.1
2:39:24 PM,0.003,0.1
2:39:25 PM,11.3335,0.2
2:39:26 PM,11.2985,586.7
2:39:27 PM,11.306,586.6
2:39:28 PM,11.3175,586.3
2:39:29 PM,11.281,583.7
2:39:30 PM,0.0035,582.8
2:39:31 PM,0.0035,0.6
2:39:32 PM,0.0035,0.3
2:39:33 PM,0.003,0.2
2:39:34 PM,0.003,0.2
2:39:35 PM,0.003,0.1
2:39:36 PM,0.003,0.2
2:39:37 PM,0.003,0.1
2:39:38 PM,0.003,0.2
2:39:39 PM,0.003,0.2
2:39:40 PM,0.003,0.2
2:39:41 PM,0.003,0.2
2:39:42 PM,0.003,0.2
2:39:43 PM,0.0035,0.1
2:39:44 PM,0.003,0.2
2:39:45 PM,0.003,0.1
2:39:46 PM,0.003,0.1
2:39:47 PM,0.003,0.1
2:39:48 PM,0.003,0.1
2:39:49 PM,0.003,0.1
2:39:50 PM,0.003,0.1
2:39:51 PM,0.003,0.1
2:39:52 PM,0.003,0.1
2:39:53 PM,0.003,0.1
2:39:54 PM,0.003,0.1
2:39:55 PM,0.003,0.1
2:39:56 PM,0.003,0.1
2:39:57 PM,0.003,0.1
2:39:58 PM,0.003,0.1
2:39:59 PM,0.003,0.2
2:40:00 PM,0.003,0.1
2:40:01 PM,0.003,0.1
2:40:02 PM,0.003,0.2
2:40:03 PM,0.003,0.1
2:40:04 PM,0.003,0.1
2:40:05 PM,0.0035,0.1
2:40:06 PM,0.003,0.1
2:40:07 PM,0.003,0.1
2:40:08 PM,0.003,0.1
2:40:09 PM,0.003,0.1
2:40:10 PM,0.003,0.1
2:40:11 PM,0.003,0.1
2:40:12 PM,0.003,0.1
2:40:13 PM,0.003,0.1
2:40:14 PM,0.003,0.1
2:40:15 PM,0.003,0.1
2:40:16 PM,0.003,0.1
2:40:17 PM,0.003,0.1
2:40:18 PM,0.003,0.1
2:40:19 PM,0.003,0.1
2:40:20 PM,0.003,0.1
2:40:21 PM,0.003,0.1
2:40:22 PM,0.003,0.1
2:40:23 PM,0.003,0.2
2:40:24 PM,0.003,0.1
2:40:25 PM,0.003,0.1
2:40:26 PM,0.003,0.1
2:40:27 PM,0.003,0.1
2:40:28 PM,0.003,0.1
2:40:29 PM,0.003,0.1
2:40:30 PM,0.003,0.1
2:40:31 PM,0.003,0.1
2:40:32 PM,0.003,0.1
2:40:33 PM,0.003,0.1
2:40:34 PM,0.003,0.1
2:40:35 PM,0.003,0.1
2:40:36 PM,0.003,0.1
2:40:37 PM,0.003,0.1
2:40:38 PM,0.003,0.1
2:40:39 PM,0.003,0.1
2:40:40 PM,0.003,0.1
2:40:41 PM,0.003,0.1
2:40:42 PM,0.003,0.1
2:40:43 PM,0.003,0.1
2:40:44 PM,0.003,0.1
