Time,Voltage 2 (V),Current (mA)
12:34:18 PM,0.003,0.1
12:34:19 PM,0.003,0.1
12:34:20 PM,0.003,0.2
12:34:21 PM,0.003,0.2
12:34:22 PM,0.003,0.1
12:34:23 PM,0.003,0.1
12:34:24 PM,0.003,0.2
12:34:25 PM,0.003,0.1
12:34:26 PM,0.003,0.1
12:34:27 PM,0.003,0.1
12:34:28 PM,0.003,0.2
12:34:29 PM,0.003,0.1
12:34:30 PM,0.003,0.1
12:34:31 PM,0.003,0.2
12:34:32 PM,0.003,0.1
12:34:33 PM,0.003,0.2
12:34:34 PM,0.003,0.1
12:34:35 PM,0.003,0.1
12:34:36 PM,0.003,0.1
12:34:37 PM,0.003,0.1
12:34:38 PM,0.003,0.1
12:34:39 PM,0.003,0.1
12:34:40 PM,0.003,0.1
12:34:41 PM,11.0875,0.2
12:34:42 PM,11.082,596.6
12:34:43 PM,11.1145,587.8
12:34:44 PM,11.0845,578.6
12:34:45 PM,11.081,552.7
12:34:46 PM,11.1235,552.9
12:34:47 PM,11.1135,554.5
12:34:48 PM,0.0035,554.5
12:34:49 PM,0.0035,0.3
12:34:50 PM,0.0035,0.2
12:34:51 PM,0.0035,0.2
12:34:52 PM,0.0035,0.2
12:34:53 PM,0.0035,0.1
12:34:54 PM,0.003,0.2
12:34:55 PM,0.003,0.2
12:34:56 PM,0.0035,0.2
12:34:57 PM,0.003,0.1
12:34:58 PM,0.003,0.1
12:34:59 PM,0.003,0.2
12:35:00 PM,0.003,0.1
12:35:01 PM,0.003,0.1
12:35:02 PM,0.0035,0.1
12:35:03 PM,0.0035,0.1
12:35:04 PM,0.003,0.1
12:35:05 PM,0.003,0.1
12:35:06 PM,0.003,0.1
12:35:07 PM,0.003,0.1
12:35:08 PM,0.003,0.2
12:35:09 PM,0.0035,0.1
12:35:10 PM,0.0035,0.1
12:35:11 PM,0.003,0.1
12:35:12 PM,0.003,0.1
12:35:13 PM,0.0035,0.1
12:35:14 PM,0.0035,0.1
12:35:15 PM,0.0035,0.1
12:35:16 PM,0.0035,0.1
12:35:17 PM,0.0035,0.1
12:35:18 PM,0.0035,0.1
12:35:19 PM,0.0035,0.1
12:35:20 PM,0.0035,0.1
12:35:21 PM,0.0035,0.2
12:35:22 PM,0.003,0.1
12:35:23 PM,0.0035,0.1
12:35:24 PM,0.0035,0.1
12:35:25 PM,0.0035,0.1
12:35:26 PM,0.003,0.1
12:35:27 PM,0.003,0.1
12:35:28 PM,0.0035,0.1
12:35:29 PM,0.003,0.1
12:35:30 PM,0.003,0.1
12:35:31 PM,0.003,0.1
12:35:32 PM,0.003,0.1
12:35:33 PM,0.003,0.1
12:35:34 PM,0.003,0.1
12:35:35 PM,0.003,0.1
12:35:36 PM,0.003,0.1
12:35:37 PM,0.003,0.1
12:35:38 PM,0.003,0.1
12:35:39 PM,0.003,0.2
12:35:40 PM,0.003,0.2
12:35:41 PM,0.003,0.1
12:35:42 PM,0.003,0.1
12:35:43 PM,0.003,0.1
12:35:44 PM,0.003,0.1
12:35:45 PM,11.0955,0.2
12:35:46 PM,11.128,318.5
12:35:47 PM,11.1045,592.9
12:35:48 PM,11.121,587.8
12:35:49 PM,11.1065,570.9
12:35:50 PM,11.097,553.9
12:35:51 PM,0.0035,553.3
12:35:52 PM,0.0035,0.5
12:35:53 PM,0.0035,0.2
12:35:54 PM,0.0035,0.2
12:35:55 PM,0.0035,0.2
12:35:56 PM,0.0035,0.2
12:35:57 PM,0.0035,0.2
12:35:58 PM,0.0035,0.2
12:35:59 PM,0.0035,0.1
12:36:00 PM,0.0035,0.2
12:36:01 PM,0.0035,0.1
12:36:02 PM,0.0035,0.1
12:36:03 PM,0.0035,0.1
12:36:04 PM,0.0035,0.1
12:36:05 PM,0.0035,0.2
12:36:06 PM,0.0035,0.1
12:36:07 PM,0.0035,0.1
12:36:08 PM,0.0035,0.1
12:36:09 PM,0.0035,0.1
12:36:10 PM,0.0035,0.2
12:36:11 PM,0.0035,0.1
12:36:12 PM,0.0035,0.1
12:36:13 PM,0.0035,0.1
12:36:14 PM,0.0035,0.2
12:36:15 PM,0.0035,0.1
12:36:16 PM,0.0035,0.1
12:36:17 PM,0.0035,0.1
12:36:18 PM,0.0035,0.2
12:36:19 PM,0.0035,0.1
12:36:20 PM,0.003,0.1
12:36:21 PM,0.003,0.1
12:36:22 PM,0.003,0.1
12:36:23 PM,0.003,0.2
12:36:24 PM,0.003,0.1
