Time,Voltage 2 (V),Current (mA)
1:11:14 PM,0.003,0.1
1:11:15 PM,0.003,0.1
1:11:16 PM,0.003,0.1
1:11:17 PM,0.003,0.2
1:11:18 PM,0.003,0.2
1:11:19 PM,0.003,0.1
1:11:20 PM,0.003,0.1
1:11:21 PM,0.003,0.1
1:11:22 PM,0.003,0.1
1:11:23 PM,0.003,0.1
1:11:24 PM,0.003,0.2
1:11:25 PM,0.003,0.1
1:11:26 PM,0.003,0.2
1:11:27 PM,0.003,0.1
1:11:28 PM,0.003,0.2
1:11:29 PM,0.003,0.1
1:11:30 PM,0.003,0.1
1:11:31 PM,0.003,0.1
1:11:32 PM,0.003,0.1
1:11:33 PM,0.003,0.1
1:11:34 PM,0.003,0.1
1:11:35 PM,0.003,0.1
1:11:36 PM,0.003,0.1
1:11:37 PM,0.003,0.2
1:11:38 PM,0.003,0.1
1:11:39 PM,0.003,0.1
1:11:40 PM,0.003,0.1
1:11:41 PM,0.003,0.1
1:11:42 PM,0.003,0.2
1:11:43 PM,0.003,0.1
1:11:44 PM,0.003,0.1
1:11:45 PM,11.41,619.1
1:11:46 PM,11.397,615.6
1:11:47 PM,11.4,596.3
1:11:48 PM,11.378,602.7
1:11:49 PM,11.3745,589.9
1:11:50 PM,0.0035,568.5
1:11:51 PM,0.0035,0.4
1:11:52 PM,0.0035,0.3
1:11:53 PM,0.0035,0.2
1:11:54 PM,0.0035,0.2
1:11:55 PM,0.003,0.1
1:11:56 PM,0.003,0.2
1:11:57 PM,0.0035,0.2
1:11:58 PM,0.003,0.2
1:11:59 PM,0.003,0.2
1:12:00 PM,0.003,0.1
1:12:01 PM,0.003,0.2
1:12:02 PM,0.003,0.1
1:12:03 PM,0.003,0.1
1:12:04 PM,0.003,0.1
1:12:05 PM,0.003,0.1
1:12:06 PM,0.003,0.1
1:12:07 PM,0.003,0.1
1:12:08 PM,0.003,0.1
1:12:09 PM,0.003,0.1
1:12:10 PM,0.003,0.1
1:12:11 PM,0.003,0.1
1:12:12 PM,0.003,0.1
1:12:13 PM,0.0035,0.2
1:12:14 PM,0.003,0.2
1:12:15 PM,0.003,0.2
1:12:16 PM,0.003,0.1
1:12:17 PM,0.003,0.2
1:12:18 PM,0.003,0.1
1:12:19 PM,0.003,0.1
1:12:20 PM,0.003,0.2
1:12:21 PM,0.003,0.1
1:12:22 PM,0.003,0.1
1:12:23 PM,0.003,0.1
1:12:24 PM,0.003,0.2
1:12:25 PM,0.003,0.1
1:12:26 PM,0.003,0.1
1:12:27 PM,0.003,0.1
1:12:28 PM,0.003,0.2
1:12:29 PM,0.003,0.1
1:12:30 PM,0.003,0.1
1:12:31 PM,0.003,0.1
1:12:32 PM,0.003,0.1
1:12:33 PM,0.003,0.1
1:12:34 PM,0.003,0.1
1:12:35 PM,0.003,0.1
1:12:36 PM,0.003,0.2
1:12:37 PM,0.003,0.1
1:12:38 PM,0.003,0.1
1:12:39 PM,0.003,0.1
1:12:40 PM,0.003,0.1
1:12:41 PM,0.003,0.1
1:12:42 PM,0.003,0.1
1:12:43 PM,0.003,0.1
1:12:44 PM,0.003,0.1
1:12:45 PM,0.003,0.1
1:12:46 PM,0.003,0.2
1:12:47 PM,0.003,0.1
1:12:48 PM,0.003,0.1
1:12:49 PM,0.003,0.1
1:12:50 PM,0.003,0.1
1:12:51 PM,0.003,0.1
1:12:52 PM,0.003,0.1
1:12:53 PM,0.003,0.1
1:12:54 PM,0.003,0.1
1:12:55 PM,0.003,0.1
1:12:56 PM,0.003,0.1
1:12:57 PM,0.003,0.1
1:12:58 PM,0.003,0.1
1:12:59 PM,0.003,0.1
1:13:00 PM,0.003,0.1
1:13:01 PM,0.003,0.1
1:13:02 PM,0.003,0.1
1:13:03 PM,0.003,0.1
1:13:04 PM,0.003,0.2
1:13:05 PM,0.003,0.1
1:13:06 PM,0.003,0.1
1:13:07 PM,0.003,0.1
1:13:08 PM,0.003,0.1
1:13:09 PM,0.003,0.1
1:13:10 PM,0.003,0.1
1:13:11 PM,0.003,0.1
1:13:12 PM,0.003,0.2
1:13:13 PM,0.003,0.1
1:13:14 PM,0.003,0.1
1:13:15 PM,0.003,0.1
1:13:16 PM,11.4095,0.2
1:13:17 PM,11.377,615.9
1:13:18 PM,11.37,609
1:13:19 PM,11.3655,600.8
1:13:20 PM,11.375,567.8
1:13:21 PM,11.3665,567.6
1:13:22 PM,0.0035,0.7
1:13:23 PM,0.0035,0.3
1:13:24 PM,0.0035,0.3
1:13:25 PM,0.003,0.2
1:13:26 PM,0.0035,0.2
1:13:27 PM,0.003,0.1
1:13:28 PM,0.003,0.1
1:13:29 PM,0.003,0.1
1:13:30 PM,0.0035,0.1
1:13:31 PM,0.0035,0.2
1:13:32 PM,0.0035,0.1
1:13:33 PM,0.0035,0.1
1:13:34 PM,0.0035,0.1
1:13:35 PM,0.0035,0.1
1:13:36 PM,0.0035,0.2
1:13:37 PM,0.0035,0.2
1:13:38 PM,0.003,0.1
1:13:39 PM,0.003,0.1
1:13:40 PM,0.003,0.1
1:13:41 PM,0.0035,0.1
1:13:42 PM,0.0035,0.1
1:13:43 PM,0.003,0.1
1:13:44 PM,0.0035,0.1
1:13:45 PM,0.0035,0.1
1:13:46 PM,0.0035,0.1
1:13:47 PM,0.0035,0.1
1:13:48 PM,0.003,0.1
1:13:49 PM,0.0035,0.1
1:13:50 PM,0.003,0.1
1:13:51 PM,0.003,0.1
1:13:52 PM,0.0035,0.1
1:13:53 PM,0.0035,0.1
1:13:54 PM,0.003,0.2
1:13:55 PM,0.003,0.2
1:13:56 PM,0.0035,0.1
1:13:57 PM,0.003,0.1
1:13:58 PM,0.0035,0.1
1:13:59 PM,0.003,0.1
1:14:00 PM,0.0035,0.1
