RecNumber,Label,Fat,Lean,FreeWater,TotalWater,Time,Date,Stage,Expected
345,M7_6wk,0.25,9.29,0.36,8.06,8:34:01,30-Oct-20,Sample,Sample
346,M10_6wk,0.56,9.37,0.22,8.05,9:04:17,30-Oct-20,Sample,Sample
347,M10_6wk,0.55,9.4,0.23,8.11,9:06:04,30-Oct-20,Sample,Sample
348,M10_6wk,0.58,9.34,0.26,8.01,9:07:51,30-Oct-20,Sample,Sample
349,M6_6wk,0.68,10.52,0.25,9.01,9:34:46,30-Oct-20,Sample,Sample
350,M6_6wk,0.71,10.52,0.28,8.92,9:36:33,30-Oct-20,Sample,Sample
351,M6_6wk,0.71,10.51,0.27,8.95,9:38:20,30-Oct-20,Sample,Sample
352,M14_6wk,1.02,10.17,0.25,8.76,10:12:08,30-Oct-20,Sample,Sample
353,M14_6wk,1,10.25,0.26,8.85,10:13:55,30-Oct-20,Sample,Sample
354,M14_6wk,1.01,10.2,0.31,8.85,10:15:42,30-Oct-20,Sample,Sample
355,Standard_5,5.26,0.17,0,0.53,10:20:38,30-Oct-20,After,5
356,Standard_5,5.27,0.15,0.01,0.51,10:22:17,30-Oct-20,After,5
357,Standard_5,5.25,0.19,0,0.59,10:23:57,30-Oct-20,After,5
358,Standard_2,2.26,0.17,0.01,0.3,10:25:46,30-Oct-20,After,2
359,Standard_2,2.27,0.16,0,0.33,10:27:33,30-Oct-20,After,2
360,Standard_2,2.29,0.12,0.01,0.36,10:29:19,30-Oct-20,After,2
361,Standard_15,15.34,0.14,0,1.18,10:34:47,30-Oct-20,After,15.3
362,Standard_15,15.29,0.23,0,1.26,10:36:27,30-Oct-20,After,15.3
363,Standard_15,15.33,0.17,0.02,1.23,10:38:06,30-Oct-20,After,15.3
