Sample,Avg.Pwr
K1,318.917240083333
K3,412.217982958333
M1,346.375827625
M2,383.595641208333
M4,412.551835791667
M5,312.27377425
M6,410.133907083333
M7,348.194716458333
M8,399.018556625
M9,336.4638865
M10,541.20625525
M11,462.221538875
M12,444.203419625
M14,391.890553666667
